Año,Trimestre,Provincia,Mbps (Media de bajada),Localidad
2021.0,4.0,Salta,3.394,Barrio Belgrano-Máximo Paz
2021.0,4.0,San Juan,1.105,Barrio El Taladro
2021.0,4.0,San Luis,2.091,Cañuelas
2021.0,4.0,Santa Cruz,899.0,Gobernador Udaondo
2021.0,4.0,Santa Fe,3.602,Máximo Paz
2021.0,4.0,Santiago Del Estero,1.384,Santa Rosa
2021.0,4.0,Tierra Del Fuego,1.07,Uribelarrea
2021.0,4.0,Tucumán,4.515,Vicente Casares
2021.0,3.0,Buenos Aires,5.626,Capitán Sarmiento
2021.0,3.0,Capital Federal,7.771,La Luisa
2021.0,3.0,Catamarca,4.343,Cadret
2021.0,3.0,Chaco,3.911,Carlos Casares
2021.0,3.0,Chubut,818.0,La Sofía
2021.0,3.0,Córdoba,4.193,Mauricio Hirsch
2021.0,3.0,Corrientes,3.217,Moctezuma
2021.0,3.0,Entre Ríos,2.96,Santo Tomás
2021.0,3.0,Formosa,2.669,Smith
2021.0,3.0,Jujuy,2.598,Carlos Tejedor
2021.0,3.0,La Pampa,1.299,Colonia Seré
2021.0,3.0,La Rioja,3.887,Curarú
2021.0,3.0,Mendoza,1.337,Timote
2021.0,3.0,Misiones,3.088,Tres Algarrobos  (Est. Cuenca)
2021.0,3.0,Neuquén,3.834,Carmen de Areco
2021.0,3.0,Río Negro,2.54,Pueblo Gouin
2021.0,3.0,Salta,3.121,Tres Sargentos
2021.0,3.0,San Juan,704.0,Castelli
2021.0,3.0,San Luis,2.17,Centro Guerrero
2021.0,3.0,Santa Cruz,769.0,Cerro De La Gloria
2021.0,3.0,Santa Fe,3.313,Castilla
2021.0,3.0,Santiago Del Estero,1.335,Chacabuco
2021.0,3.0,Tierra Del Fuego,952.0,O'Higgins
2021.0,3.0,Tucumán,4.21,Rawson
2021.0,2.0,Buenos Aires,5.276,Barrio San Cayetano
2021.0,2.0,Capital Federal,7.275,Chascomús
2021.0,2.0,Catamarca,4.219,Manuel J. Cobo  (Est. Lezama)
2021.0,2.0,Chaco,3.74,Chivilcoy
2021.0,2.0,Chubut,768.0,Gorostiaga
2021.0,2.0,Córdoba,3.959,La Rica
2021.0,2.0,Corrientes,3.037,Moquehuá
2021.0,2.0,Entre Ríos,2.762,Ramón Biaus
2021.0,2.0,Formosa,2.397,San Sebastián
2021.0,2.0,Jujuy,2.581,Colón
2021.0,2.0,La Pampa,1.228,Pearson
2021.0,2.0,La Rioja,3.853,Sarasa
2021.0,2.0,Mendoza,1.347,Bajo Hondo
2021.0,2.0,Misiones,2.868,Balneario Pehuen Co
2021.0,2.0,Neuquén,3.611,Pago Chico
2021.0,2.0,Río Negro,2.375,Punta Alta  (Est Almirante Solier)
2021.0,2.0,Salta,2.924,Villa General Arias  (Est. Kilómetro 638)
2021.0,2.0,San Juan,699.0,Balneario Marisol
2021.0,2.0,San Luis,2.166,Coronel Dorrego
2021.0,2.0,Santa Cruz,763.0,El Perdido  (Est. José A. Guisasola)
2021.0,2.0,Santa Fe,3.07,Oriente
2021.0,2.0,Santiago Del Estero,1.272,Coronel Pringles  (Est. Pringles)
2021.0,2.0,Tierra Del Fuego,859.0,Indio Rico
2021.0,2.0,Tucumán,4.031,Coronel Suárez
2021.0,1.0,Buenos Aires,5.079,Huanguelén
2021.0,1.0,Capital Federal,6.829,Pasman
2021.0,1.0,Catamarca,3.997,San José
2021.0,1.0,Chaco,3.363,Santa María
2021.0,1.0,Chubut,753.0,Santa Trinidad
2021.0,1.0,Córdoba,3.617,Villa La Arcadia
2021.0,1.0,Corrientes,2.599,Daireaux
2021.0,1.0,Entre Ríos,2.387,Salazar
2021.0,1.0,Formosa,2.098,Dolores
2021.0,1.0,Jujuy,2.678,Sevigne
2021.0,1.0,La Pampa,1.073,Ensenada
2021.0,1.0,La Rioja,1.27,Villa Catela
2021.0,1.0,Mendoza,1.26,Belen de Escobar
2021.0,1.0,Misiones,2.508,El cazador
2021.0,1.0,Neuquén,3.424,Garín
2021.0,1.0,Río Negro,2.192,Ingeniero Maschwitz
2021.0,1.0,Salta,2.732,Loma Verde
2021.0,1.0,San Juan,691.0,Maquinista F. Savio (este)
2021.0,1.0,San Luis,2.159,Matheu
2021.0,1.0,Santa Cruz,750.0,9 De Abril
2021.0,1.0,Santa Fe,2.813,Canning
2021.0,1.0,Santiago Del Estero,1.158,El Jagüel
2021.0,1.0,Tierra Del Fuego,873.0,Luis Guillón
2021.0,1.0,Tucumán,3.798,Monte Grande
2020.0,4.0,Buenos Aires,5.001,Zona Aeropuerto Internacional Ezeiza
2020.0,4.0,Capital Federal,6.733,Arroyo de la Cruz
2020.0,4.0,Catamarca,3.765,Capilla del Señor  (Est. Capilla)
2020.0,4.0,Chaco,3.245,El Remanso
2020.0,4.0,Chubut,738.0,Los Cardales
2020.0,4.0,Córdoba,3.512,Parada Orlando
2020.0,4.0,Corrientes,2.545,Parada Robles - Pavón
2020.0,4.0,Entre Ríos,2.405,Aeropuerto Internacional Ezeiza
2020.0,4.0,Formosa,1.97,Canning
2020.0,4.0,Jujuy,2.521,Carlos Spegazzini
2020.0,4.0,La Pampa,988.0,José Maria Ezeiza
2020.0,4.0,La Rioja,1.253,La Unión
2020.0,4.0,Mendoza,1.109,OTROS
2020.0,4.0,Misiones,2.496,Tristán Suarez
2020.0,4.0,Neuquén,3.391,Bosques
2020.0,4.0,Río Negro,2.164,Estanislao Severo Zeballos
2020.0,4.0,Salta,2.532,Florencio Varela
2020.0,4.0,San Juan,641.0,Gobernador Julio A. Costa
2020.0,4.0,San Luis,2.125,Ingeniero Juan Allan
2020.0,4.0,Santa Cruz,749.0,La Capilla
2020.0,4.0,Santa Fe,2.729,la rotonda
